record_id,job_record_id,source_id,source_name,skill,evidence,collected_at
tencent_careers:1917415886722015232:skill:1,tencent_careers:1917415886722015232,tencent_careers,Tencent Careers,Testing,UE微恐轻动作项目-主关卡 1.作为关卡方向负责人，制定合作PVE与PVEVP关卡体系、节奏曲线、空间规则和品质标准； 2.主导关卡从主题概念、灰盒验证、玩法布点、氛围呈现、性能约束到验收上线的全流程； 3.统筹玩法、PVE、战斗、叙事、场景、美术、音频、技术关卡等协作，确保探索、搜集、遭遇、撤离和社交协作体验闭环； 4.建立模块化/半程序化关卡生产规范、评审机制、外包标准与复用组件库，提高版本产能和稳定性； 5.通过数据、热区、路线、撤离、玩家反馈等信息复盘关卡质量，持续优化难度、节奏和可重玩空间。 1.5年以上关卡策划经验，有主关卡/关卡负责人/多人项目关卡Owner经历，至少主导过一款上线或完整测试项目的关卡体系建设； 2.深入理解合作PVE、撤离玩法、轻动作、箱庭等关卡设计，对多人协作与多队冲突有方法论； 3.熟练使用UE编辑器、蓝图、关卡调试工具，具备灰盒验证、模块化搭建、性能/视线/动线控制经验； 4.有较强空间审美、节奏设计和问题诊断能力，能用作品集清晰说明从目标、布局到验证迭代的过程； 5.具备方向管理能力，能组织评审、拆解排期、指导策划/TA/外包协作，沉淀可复制的关,2026-07-20T14:33:38+08:00
tencent_careers:1917415886722015232:skill:2,tencent_careers:1917415886722015232,tencent_careers,Tencent Careers,Design,UE微恐轻动作项目-主关卡 1.作为关卡方向负责人，制定合作PVE与PVEVP关卡体系、节奏曲线、空间规则和品质标准； 2.主导关卡从主题概念、灰盒验证、玩法布点、氛围呈现、性能约束到验收上线的全流程； 3.统筹玩法、PVE、战斗、叙事、场景、美术、音频、技术关卡等协作，确保探索、搜集、遭遇、撤离和社交协作体验闭环； 4.建立模块化/半程序化关卡生产规范、评审机制、外包标准与复用组件库，提高版本产能和稳定性； 5.通过数据、热区、路线、撤离、玩家反馈等信息复盘关卡质量，持续优化难度、节奏和可重玩空间。 1.5年以上关卡策划经验，有主关卡/关卡负责人/多人项目关卡Owner经历，至少主导过一款上线或完整测试项目的关卡体系建设； 2.深入理解合作PVE、撤离玩法、轻动作、箱庭等关卡设计，对多人协作与多队冲突有方法论； 3.熟练使用UE编辑器、蓝图、关卡调试工具，具备灰盒验证、模块化搭建、性能/视线/动线控制经验； 4.有较强空间审美、节奏设计和问题诊断能力，能用作品集清晰说明从目标、布局到验证迭代的过程； 5.具备方向管理能力，能组织评审、拆解排期、指导策划/TA/外包协作，沉淀可复制的关,2026-07-20T14:33:38+08:00
tencent_careers:2010690386942644224:skill:1,tencent_careers:2010690386942644224,tencent_careers,Tencent Careers,Product,Supercell游戏-中国区电竞经理/电竞负责人 1.链接全球Supercell赛事体系，结合中国本地市场特性，制定符合产品与市场需求的赛事目标、策略与执行计划； 2.负责Supercell赛事和电竞运营工作，完成内外部渠道的宣发推广及持续运营，促进观赛用户增长，提升赛事影响力； 3.深度整合全球赛事体系资源，根据中国玩家特点与市场环境，优化赛事结构，提升赛事吸引力和参与度，将赛事作为玩家和运营的链接桥梁； 4.与全球及本地团队紧密合作，确保赛事方案的高效推进与高质量呈现。 1.对Supercell游戏有浓厚兴趣并拥有多年的游戏经历，深入了解其玩法与玩家生态； 2.具备丰富的全球电竞赛事认知，熟悉电竞行业的发展趋势，对多种类型游戏的电竞策略有深入理解，并能制定出Supercell的电竞策略； 3.拥有全球电竞赛事的搭建与落地能力，能够独立策划并执行具有影响力的赛事项目； 4.具备优秀的沟通与表达能力，能够高效推动跨部门、跨团队的协作，确保项目按时高质量交付；拥有优秀的策划与文案能力，能够撰写清晰、逻辑性强的赛事策划案与执行方案； 5.英语听说读写能力优秀，能够与国际团队进行无障碍的商,2026-07-20T14:33:38+08:00
tencent_careers:2010690386942644224:skill:2,tencent_careers:2010690386942644224,tencent_careers,Tencent Careers,Marketing,Supercell游戏-中国区电竞经理/电竞负责人 1.链接全球Supercell赛事体系，结合中国本地市场特性，制定符合产品与市场需求的赛事目标、策略与执行计划； 2.负责Supercell赛事和电竞运营工作，完成内外部渠道的宣发推广及持续运营，促进观赛用户增长，提升赛事影响力； 3.深度整合全球赛事体系资源，根据中国玩家特点与市场环境，优化赛事结构，提升赛事吸引力和参与度，将赛事作为玩家和运营的链接桥梁； 4.与全球及本地团队紧密合作，确保赛事方案的高效推进与高质量呈现。 1.对Supercell游戏有浓厚兴趣并拥有多年的游戏经历，深入了解其玩法与玩家生态； 2.具备丰富的全球电竞赛事认知，熟悉电竞行业的发展趋势，对多种类型游戏的电竞策略有深入理解，并能制定出Supercell的电竞策略； 3.拥有全球电竞赛事的搭建与落地能力，能够独立策划并执行具有影响力的赛事项目； 4.具备优秀的沟通与表达能力，能够高效推动跨部门、跨团队的协作，确保项目按时高质量交付；拥有优秀的策划与文案能力，能够撰写清晰、逻辑性强的赛事策划案与执行方案； 5.英语听说读写能力优秀，能够与国际团队进行无障碍的商,2026-07-20T14:33:38+08:00
tencent_careers:2059110495713144832:skill:1,tencent_careers:2059110495713144832,tencent_careers,Tencent Careers,Security,微信支付-基础产品经理 1.结合法律、行业趋势、用户需求，面向C端用户的鉴权与身份核验场景，输出产品解决方案，为用户提供安全、方便、好用的验密/刷脸/证件照片验证等基础产品服务； 2.建立和完善产品机制、运营规范，充分匹配用户意愿的前提下，帮助用户高效解决问题，保障用户的权益和使用体验； 3.结合用户行为和实际需求，持续探索创新应用场景、改进用户体验，赢得用户口碑。 1.快速学习业务知识并应用于产品策划工作，善于分析洞察并解决问题； 2.逻辑思维能力强，执行能力、抗压能力强，对支付领域的产品工作有热情； 3.具备强自驱和owner意识，可以熟练使用AI工具帮助工作提效； 4.勇于创新和探索，同时具备良好的沟通能力以及团队合作精神。,2026-07-20T14:33:38+08:00
tencent_careers:2059110495713144832:skill:2,tencent_careers:2059110495713144832,tencent_careers,Tencent Careers,Product,微信支付-基础产品经理 1.结合法律、行业趋势、用户需求，面向C端用户的鉴权与身份核验场景，输出产品解决方案，为用户提供安全、方便、好用的验密/刷脸/证件照片验证等基础产品服务； 2.建立和完善产品机制、运营规范，充分匹配用户意愿的前提下，帮助用户高效解决问题，保障用户的权益和使用体验； 3.结合用户行为和实际需求，持续探索创新应用场景、改进用户体验，赢得用户口碑。 1.快速学习业务知识并应用于产品策划工作，善于分析洞察并解决问题； 2.逻辑思维能力强，执行能力、抗压能力强，对支付领域的产品工作有热情； 3.具备强自驱和owner意识，可以熟练使用AI工具帮助工作提效； 4.勇于创新和探索，同时具备良好的沟通能力以及团队合作精神。,2026-07-20T14:33:38+08:00
tencent_careers:2059110495713144832:skill:3,tencent_careers:2059110495713144832,tencent_careers,Tencent Careers,Marketing,微信支付-基础产品经理 1.结合法律、行业趋势、用户需求，面向C端用户的鉴权与身份核验场景，输出产品解决方案，为用户提供安全、方便、好用的验密/刷脸/证件照片验证等基础产品服务； 2.建立和完善产品机制、运营规范，充分匹配用户意愿的前提下，帮助用户高效解决问题，保障用户的权益和使用体验； 3.结合用户行为和实际需求，持续探索创新应用场景、改进用户体验，赢得用户口碑。 1.快速学习业务知识并应用于产品策划工作，善于分析洞察并解决问题； 2.逻辑思维能力强，执行能力、抗压能力强，对支付领域的产品工作有热情； 3.具备强自驱和owner意识，可以熟练使用AI工具帮助工作提效； 4.勇于创新和探索，同时具备良好的沟通能力以及团队合作精神。,2026-07-20T14:33:38+08:00
tencent_careers:2046473336116117504:skill:1,tencent_careers:2046473336116117504,tencent_careers,Tencent Careers,Design,《洛克王国：世界》-高级游戏策划-技能设计方向 1.负责洛克王国手游的技能特性设计、主角魔法设计、平衡性管理工作； 2.独立完成需求案撰写、跟进相关战斗系统制作并确保其按质按量完成； 3.在既存技能设计体系下进行拓展并完成高品质机制设计、技能设计； 4.尝试在上述工作中建立有一致性的技能设计理念并持续优化。 1.本科或以上学历，5年以上的回合制战斗策划、或2年以上战斗策划组长/主策划工作经验； 2.性格开朗，细心负责，善于沟通，热爱游戏设计与游戏研发； 3.有精灵/宠物收集品类游戏经验者优先； 4.熟悉洛克王国IP者优先。,2026-07-20T14:33:38+08:00
tencent_careers:1896859078659973120:skill:1,tencent_careers:1896859078659973120,tencent_careers,Tencent Careers,Java,智能体-全栈开发工程师-CodeBuddy/WorkBuddy 1.负责腾讯云CodeBuddy/WorkBuddy在垂直子领域的全链路研发工作，涵盖需求分析、架构设计、前后端开发及模型集成； 2.主导技术方案规划与评审，精心输出高质量设计文档，全力协调前后端及算法团队达成技术方案落地实施； 3.积极推动研发流程标准化，合理制定迭代计划并精准把控交付节奏，保证功能按时且高质量交付； 4.构建代码质量监控体系，主导性能优化与体验提升工作，有效提高产品内建质量与生成效果； 5.深度参与 AI 模型工程化落地，巧妙设计模型服务接口与数据交互方案，大力优化推理效率与资源消耗。 1.计算机相关专业本科及以上学历，拥有 3 年以上全栈开发经验，并主导过复杂系统全生命周期研发； 2.精通至少两种技术栈组合，如 TypeScript+Node.js+Python/Java+React+Go，具备跨平台开发经验者优先； 3.熟悉分布式系统设计，熟练掌握微服务、容器化、CI/CD 等工程实践，有高并发场景优化经验； 4.具备出色的技术方案规划能力，能够输出符合 Clean Architecture/Dom,2026-07-20T14:33:38+08:00
tencent_careers:1896859078659973120:skill:2,tencent_careers:1896859078659973120,tencent_careers,Tencent Careers,Python,智能体-全栈开发工程师-CodeBuddy/WorkBuddy 1.负责腾讯云CodeBuddy/WorkBuddy在垂直子领域的全链路研发工作，涵盖需求分析、架构设计、前后端开发及模型集成； 2.主导技术方案规划与评审，精心输出高质量设计文档，全力协调前后端及算法团队达成技术方案落地实施； 3.积极推动研发流程标准化，合理制定迭代计划并精准把控交付节奏，保证功能按时且高质量交付； 4.构建代码质量监控体系，主导性能优化与体验提升工作，有效提高产品内建质量与生成效果； 5.深度参与 AI 模型工程化落地，巧妙设计模型服务接口与数据交互方案，大力优化推理效率与资源消耗。 1.计算机相关专业本科及以上学历，拥有 3 年以上全栈开发经验，并主导过复杂系统全生命周期研发； 2.精通至少两种技术栈组合，如 TypeScript+Node.js+Python/Java+React+Go，具备跨平台开发经验者优先； 3.熟悉分布式系统设计，熟练掌握微服务、容器化、CI/CD 等工程实践，有高并发场景优化经验； 4.具备出色的技术方案规划能力，能够输出符合 Clean Architecture/Dom,2026-07-20T14:33:38+08:00
